1.000	0.250	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.250	1.000	0.250	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.250	1.000	0.250	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.250	1.000	0.250	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.250	1.000	0.250	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.250	1.000	0.250	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.250	1.000	0.250	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.250	1.000	0.250	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.250	1.000	0.250
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.250	1.000
